mu Delta Omega mu0 Delta0 Omega0
102.0408163265306 -878.7878787878788 -74.3836924339477 102.0408163265306 nan nan 
112.24489795918367 -878.7878787878788 -74.3836924339477 112.24489795918367 nan nan 
122.44897959183673 -878.7878787878788 -74.3836924339477 122.44897959183673 nan nan 
132.6530612244898 -878.7878787878788 -74.3836924339477 132.6530612244898 nan nan 
142.85714285714286 -878.7878787878788 -74.3836924339477 142.85714285714286 nan nan 
153.0612244897959 -878.7878787878788 -74.3836924339477 153.0612244897959 nan nan 
163.26530612244898 -878.7878787878788 -74.3836924339477 163.26530612244898 nan nan 
173.46938775510205 -878.7878787878788 -74.3836924339477 173.46938775510205 nan nan 
183.6734693877551 -878.7878787878788 -74.3836924339477 183.6734693877551 nan nan 
193.87755102040816 -878.7878787878788 -74.3836924339477 193.87755102040816 nan nan 
204.0816326530612 -878.7878787878788 -74.3836924339477 204.0816326530612 nan nan 
214.28571428571428 -878.7878787878788 -74.3836924339477 214.28571428571428 nan nan 
224.48979591836735 -878.7878787878788 -74.3836924339477 224.48979591836735 nan nan 
234.6938775510204 -878.7878787878788 -74.3836924339477 234.6938775510204 nan nan 
244.89795918367346 -878.7878787878788 -74.3836924339477 244.89795918367346 nan nan 
255.10204081632654 -878.7878787878788 -74.3836924339477 255.10204081632654 nan nan 
265.3061224489796 -878.7878787878788 -74.3836924339477 265.3061224489796 nan nan 
275.51020408163265 -878.7878787878788 -74.3836924339477 275.51020408163265 nan nan 
285.7142857142857 -878.7878787878788 -74.3836924339477 285.7142857142857 nan nan 
295.9183673469388 -878.7878787878788 -74.3836924339477 295.9183673469388 nan nan 
306.1224489795918 -878.7878787878788 -74.3836924339477 306.1224489795918 nan nan 
316.3265306122449 -878.7878787878788 -74.3836924339477 316.3265306122449 nan nan 
326.53061224489795 -878.7878787878788 -74.3836924339477 326.53061224489795 nan nan 
336.734693877551 -878.7878787878788 -74.3836924339477 336.734693877551 nan nan 
346.9387755102041 -878.7878787878788 -74.3836924339477 346.9387755102041 nan nan 
357.1428571428571 -878.7878787878788 -74.3836924339477 357.1428571428571 nan nan 
367.3469387755102 -878.7878787878788 -74.3836924339477 367.3469387755102 nan nan 
377.55102040816325 -878.7878787878788 -74.3836924339477 377.55102040816325 nan nan 
387.7551020408163 -878.7878787878788 -74.3836924339477 387.7551020408163 nan nan 
397.9591836734694 -878.7878787878788 -74.3836924339477 397.9591836734694 nan nan 
