sigma mu omega domega
-142.85714285714286 61.01694915254237 3.5436112145281515 -0.11900488283011221 
-134.69387755102042 61.01694915254237 2.53303865979638 -0.12361931882471301 
-126.53061224489795 61.01694915254237 1.5253366214716115 -0.11928959339657791 
-118.36734693877551 61.01694915254237 0.5854534614849031 -0.10794672909029995 
-110.20408163265306 61.01694915254237 -0.23705895551287698 -0.09142883758073943 
-102.0408163265306 61.01694915254237 -0.907262254119007 -0.0714746721892047 
-93.87755102040816 61.01694915254237 -1.4039923790100965 -0.04971621523521034 
-85.71428571428571 61.01694915254237 -1.7189555640816243 -0.027670064935633048 
-77.55102040816327 61.01694915254237 -1.8557485412245138 -0.006727302882789466 
-69.38775510204081 61.01694915254237 -1.8287890805353297 0.011858601639529473 
-61.22448979591837 61.01694915254237 -1.6621387185383187 0.026986487171928364 
-53.061224489795904 61.01694915254237 -1.3881933716058863 0.037725743841860004 
-44.897959183673464 61.01694915254237 -1.0462082068344818 0.043339585813692405 
-36.734693877551024 61.01694915254237 -0.680608297096623 0.04331580666452052 
