sigma mu omega
-90.9090909090909 325 -34.9225298661407 
-86.86868686868686 325 -34.508637205892605 
-82.82828282828282 325 -33.71266693284511 
-78.78787878787878 325 -32.5902497184424 
-74.74747474747474 325 -31.194011645596085 
-70.7070707070707 325 -29.573784675466772 
-66.66666666666666 325 -27.776738316179873 
-62.626262626262616 325 -25.84746675857307 
-58.585858585858574 325 -23.828047946127683 
-54.54545454545453 325 -21.758083442398835 
-50.50505050505049 325 -19.674724242086075 
-46.46464646464645 325 -17.612685660967177 
-42.42424242424241 325 -15.604253255262778 
-38.383838383838366 325 -13.679280963105475 
-34.343434343434325 325 -11.865182128445992 
-30.303030303030283 325 -10.186913646861337 
-26.26262626262624 325 -8.666953085879895 
-22.2222222222222 325 -7.325268209436041 
-18.18181818181816 325 -6.179277786262842 
-14.141414141414117 325 -5.243801727099061 
-10.101010101010075 325 -4.5309971311233195 
-6.060606060606062 325 -4.050273811705438 
-2.0202020202020208 325 -3.8081750993751577 
2.0202020202020208 325 -3.8081750993751577 
6.060606060606062 325 -4.050273811705438 
10.101010101010104 325 -4.530997131123321 
14.141414141414145 325 -5.243801727099068 
18.181818181818187 325 -6.17927778626285 
22.22222222222223 325 -7.325268209436051 
26.26262626262627 325 -8.666953085879904 
30.30303030303031 325 -10.186913646861349 
34.34343434343435 325 -11.865182128446001 
38.383838383838395 325 -13.679280963105487 
42.424242424242436 325 -15.604253255262796 
46.46464646464648 325 -17.612685660967188 
50.50505050505052 325 -19.67472424208609 
54.54545454545456 325 -21.75808344239885 
58.5858585858586 325 -23.828047946127693 
62.626262626262644 325 -25.84746675857308 
66.66666666666669 325 -27.776738316179884 
70.70707070707073 325 -29.573784675466783 
74.74747474747477 325 -31.194011645596103 
78.78787878787881 325 -32.59024971844241 
82.82828282828285 325 -33.71266693284512 
86.8686868686869 325 -34.508637205892605 
90.90909090909093 325 -34.9225298661407 
94.94949494949498 325 -34.89533518098638 
98.98989898989902 325 -34.36383004683368 
103.03030303030306 325 -33.25713223053351 
107.0707070707071 325 -31.501453536111043 
111.11111111111114 325 -29.031341521348846 
115.15151515151518 325 -25.780247154478854 
119.19191919191923 325 -21.679872805893893 
123.23232323232327 325 -16.660197388214844 
127.27272727272731 325 -10.649500628582663 
131.31313131313135 325 -3.5743865311102736 
135.3535353535354 325 4.640193918187221 
139.39393939393943 325 14.070920756579804 
143.43434343434348 325 24.796083716837465 
147.47474747474752 325 36.89556152719321 
151.51515151515156 325 50.45080180314465 
155.5555555555556 325 65.54480149818083 
159.59595959595964 325 82.26208788319556 
163.63636363636368 325 100.68870002673413 
167.67676767676772 325 120.91217075037075 
171.71717171717177 325 143.02150903543895 
175.7575757575758 325 167.10718285908263 
179.79797979797985 325 193.26110243916648 
183.8383838383839 325 221.57660386902023 
187.87878787878788 325 252.14843312427902 
191.91919191919192 325 285.07273042528067 
195.95959595959596 325 320.4470149395395 
200.0 325 358.370169809829 

-200.0 350 358.370169809829 
-195.95959595959596 350 320.4470149395395 
-191.91919191919192 350 285.07273042528067 
-187.87878787878788 350 252.14843312427902 
-183.83838383838383 350 221.57660386901983 
-179.7979797979798 350 193.2611024391662 
-175.75757575757575 350 167.10718285908223 
-171.7171717171717 350 143.02150903543875 
-167.67676767676767 350 120.91217075037046 
-163.63636363636363 350 100.6887000267338 
-159.59595959595958 350 82.26208788319532 
-155.55555555555554 350 65.54480149818058 
-151.5151515151515 350 50.45080180314438 
-147.47474747474746 350 36.89556152719304 
-143.43434343434342 350 24.796083716837295 
-139.39393939393938 350 14.070920756579657 
-135.35353535353534 350 4.640193918187084 
-131.3131313131313 350 -3.5743865311104073 
-127.27272727272727 350 -10.649500628582699 
-123.23232323232322 350 -16.66019738821489 
-119.19191919191918 350 -21.679872805893947 
-115.15151515151514 350 -25.780247154478914 
