nB nB1 nB2 muB muB1 muB2 P P1 epsilon epsilon1 epsilon2
0.42 0.43 0.3937269322562866 1029.6411206056955 1036.4549597316877 1065.0985741280706 0.03604596707650296 0.039069354396744346 0.3979212082270007 0.40825149852987797 0.39885360818651866 
0.43 0.44 0.403251897741659 1036.4549597316877 1043.5038598572903 1072.3232081776905 0.039069354396744346 0.04227062474470431 0.40825149852987797 0.4186511001259753 0.40941077396320485 
0.44 0.45 0.41307095879471695 1043.5038598572903 1050.8189000788295 1079.8043755751985 0.04227062474470431 0.045669126800590834 0.4186511001259753 0.42912251653616185 0.4203695179981556 
0.45 0.46 0.42324382104795905 1050.8189000788295 1058.3699928494902 1087.5669944836134 0.045669126800590834 0.0492561224507616 0.42912251653616185 0.43966826184128116 0.4318046185614193 
0.46 0.47 0.4337461042905854 1058.3699928494902 1066.1868382128453 1095.572496357654 0.0492561224507616 0.05305096037542461 0.43966826184128116 0.45029084273582015 0.4436964646196398 
0.47 0.48 0.44463283514911467 1066.1868382128453 1074.2368558242783 1103.8434023366924 0.05305096037542461 0.05704303000801418 0.45029084273582015 0.46099275698510866 0.4561165491919405 
0.48 0.49 0.45609536510407683 1074.2368558242783 1082.5474074743722 1112.3751289152156 0.05704303000801418 0.06125105587776385 0.46099275698510866 0.4717764709993301 0.4692940597416826 
0.49 0.5 0.46882542044229103 1082.5474074743722 1091.0922698417605 1121.2823816783107 0.06125105587776385 0.06566692402200576 0.4717764709993301 0.48264446142064044 0.48404312855221376 
0.5 0.51 0.48251663835322445 1091.0922698417605 1099.9000437044738 1130.466125021234 0.06566692402200576 0.07031060727192234 0.48264446142064044 0.4935992121970657 0.5000320416760149 
0.51 0.52 0.4971408050245479 1099.9000437044738 1108.966324642027 1139.9247686835793 0.07031060727192234 0.07518522638238584 0.4935992121970657 0.5046433310357066 0.5172469737481584 
0.52 0.53 0.5126710163865309 1108.966324642027 1118.2698802954958 1149.626758028743 0.07518522638238584 0.08028453984365176 0.5046433310357066 0.5157792986767927 0.5356777753613629 
0.53 0.54 0.5290619363672923 1118.2698802954958 1127.8353625653076 1159.5301963711802 0.08028453984365176 0.08562727218495361 0.5157792986767927 0.527009609353388 0.5552890058217895 
0.54 0.56 0.546356313074524 1127.8353625653076 1147.7248930855176 1169.6430140244886 0.08562727218495361 0.0970492350174097 0.527009609353388 0.5497634725625226 0.5761510067209967 
0.56 0.58 0.5836218602432384 1147.7248930855176 1168.6157242825668 1190.3930010586919 0.0970492350174097 0.10948232242847665 0.5497634725625226 0.5729251255141987 0.6216702713695359 
0.58 0.6 0.6244620000862933 1168.6157242825668 1190.59193883435 1211.7264920749158 0.10948232242847665 0.12302015706432216 0.5729251255141987 0.5965154156825385 0.6723894789183921 
0.6 0.62 0.669070154878146 1190.59193883435 1213.5432148386985 1233.603821146332 0.12302015706432216 0.13763777288596815 0.5965154156825385 0.6205549812023418 0.7287188111943871 
0.62 0.64 0.717229125094359 1213.5432148386985 1237.5784213276806 1255.8250932381598 0.13763777288596815 0.15344751706881585 0.6205549812023418 0.6450643857334151 0.790536568169264 
0.64 0.66 0.7691441393028668 1237.5784213276806 1262.630885752443 1278.3799709013329 0.15344751706881585 0.1704493896128652 0.6450643857334151 0.6700646612225934 0.8582842339075436 
